"filename", "language", "HTML", "Python", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\config\settings.py", "Python", 0, 1, 0, 0, 1
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\0001_initial.py", "Python", 0, -25, -1, -7, -33
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\0002_remove_userinterest_interest_and_more.py", "Python", 0, -21, -1, -6, -28
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\__init__.py", "Python", 0, 0, 0, -1, -1
"c:\Users\Jolan\Desktop\proximitylinked\posts\admin.py", "Python", 0, -37, -4, -15, -56
"c:\Users\Jolan\Desktop\proximitylinked\posts\forms.py", "Python", 0, -1, 0, -6, -7
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0001_initial.py", "Python", 0, -13, 0, 0, -13
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0002_comment_comment_post_created_idx_and_more.py", "Python", 0, 21, 1, 6, 28
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0002_post_title.py", "Python", 0, -13, -1, -6, -20
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0003_commentlike_comment_likes_postlike_post_likes_and_more.py", "Python", 0, 61, 1, 6, 68
"c:\Users\Jolan\Desktop\proximitylinked\posts\models.py", "Python", 0, 95, -3, 18, 110
"c:\Users\Jolan\Desktop\proximitylinked\posts\templates\posts\feed.html", "HTML", 301, 0, 12, 20, 333
"c:\Users\Jolan\Desktop\proximitylinked\posts\templates\posts\post.html", "HTML", -289, 0, -3, -42, -334
"c:\Users\Jolan\Desktop\proximitylinked\posts\urls.py", "Python", 0, 6, -1, -1, 4
"c:\Users\Jolan\Desktop\proximitylinked\posts\views.py", "Python", 0, -43, -3, -6, -52
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0001_initial.py", "Python", 0, 31, 0, 0, 31
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0002_alter_customuser_birth_year.py", "Python", 0, -12, -1, -6, -19
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0003_remove_customuser_birth_year_and_more.py", "Python", 0, -21, -1, -6, -28
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0004_alter_customuser_phone_number.py", "Python", 0, -13, -1, -6, -20
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0005_customuser_main_language_customuser_profile_picture_and_more.py", "Python", 0, -22, -1, -6, -29
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0006_customuser_show_date_of_birth_customuser_show_email_and_more.py", "Python", 0, -42, -1, -6, -49
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0007_alter_customuser_pronouns.py", "Python", 0, -12, -1, -6, -19
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0008_customuser_bio_customuser_show_bio.py", "Python", 0, -17, -1, -6, -24
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0009_alter_customuser_main_language_and_more.py", "Python", 0, -17, -1, -6, -24
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0010_customuser_interests_customuser_location.py", "Python", 0, -18, -1, -6, -25
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0011_alter_customuser_interests.py", "Python", 0, -12, -1, -6, -19
"c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0012_friendship.py", "Python", 0, -22, -1, -6, -29
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\migrations\0001_initial.py", "Python", 0, 14, 1, 7, 22
"c:\Users\Jolan\Desktop\proximitylinked\sitesettings\models.py", "Python", 0, 2, 0, 0, 2
"c:\Users\Jolan\Desktop\proximitylinked\templates\base.html", "HTML", 19, 0, 0, 5, 24
"Total", "-", 31, -130, -13, -94, -206